,channel_name,#_of_unique_urls,#_of_unique_video_titles,#_of_accessed_time
193,Bloomberg Quicktake: Now,20,20,21
194,The Dodo,20,20,21
195,레드셀,14,14,21
196,Arm&amp;Gun,20,20,21
197,Chispa Motivation,15,15,21
198,Aivars Meijers,9,9,21
199,WWE,19,19,21
200,ASML,17,17,21
201,Be Smart,20,20,21
202,CNBC,18,18,20
203,Nick Ackerman,20,20,20
204,Louis Rossmann,18,18,20
205,MrSpherical,19,19,20
206,freeCodeCamp.org,17,17,20
207,JoBlo Movie Clips,16,16,20
208,Sheet Music Boss,8,8,20
209,BabyZone,15,15,19
210,Key &amp; Peele,15,15,19
211,Movie Sence,1,1,19
212,Yoonki Kim,5,5,19
213,앵무새사남매-루몽다로,18,18,19
214,HowardFreeman Motivation,1,1,19
215,RED Lion Movie Shorts,15,15,19
216,Universal Pictures,10,10,19
217,강탱의 이야기,14,14,19
218,EBSDocumentary (EBS 다큐),13,13,19
219,MotivationHub,8,8,19
220,Tailosive Tech,19,19,19
221,Hat Trick,7,7,18
222,XEETECHCARE,16,16,18
223,KBS News,18,18,18
224,M. Bizarro,16,16,18
225,esi863,2,2,18
226,Claire Desplat,1,1,18
227,Adult Swim,16,16,18
228,The Vile Eye,17,17,18
229,Vee XXL,12,12,18
230,Big Think,7,7,18
231,"Brownells, Inc.",7,7,17
232,laowhy86,14,14,17
233,William Meeks,8,8,17
234,Simple Alpaca,16,16,17
235,Corey Schafer,12,12,17
236,FilmComicsExplained,13,13,17
237,해수인tv Hesuin,17,17,17
238,정군의 연애이야기,10,10,17
239,미션 파서블,14,14,17
240,CBS Mornings,17,17,17
241,Dave2D,15,15,17
242,정로이,13,13,17
243,National Geographic,14,14,17
244,Austen Alexander,14,14,17
245,Wall Street Journal,15,15,17
246,TV러셀,17,17,17
247,1theK (원더케이),10,10,17
248,JTBC News,16,16,17
249,GameClips,16,16,17
250,Generic Gaming,12,12,17
251,DangerTV,5,5,16
252,Sonata Arctica - Topic,14,14,16
253,davidmereyse,1,1,16
254,GameSpot,15,15,16
255,Techquickie,15,15,16
256,뉴욕 키다리쌤,14,14,16
257,NICKY MGTV,14,14,16
258,상하의 이별과 재회,11,11,16
259,Created Tech,14,14,16
260,Lyrics Synthesis,7,7,16
261,현대사TV,14,14,16
262,HANKOOK NORE,9,9,16
263,Boss Fight Database,8,8,16
264,AR Manga,15,15,16
265,포크포크,6,6,16
266,NintendoComplete,13,13,16
267,Jeremy Knight - Moving To Austin Texas Guide,12,12,16
268,BRUCE LEE,9,9,16
269,Flash Music,2,2,16
270,Gamer&#39;s Little Playground,13,13,16
271,SmvR,9,9,16
272,KBS HUMAN: 뭉클티비,5,5,16
273,VICE News,14,14,16
274,Buff Dudes,14,14,16
275,Mrwhosetheboss,15,15,16
276,아미TV,15,15,15
277,꽃보다전한길,15,15,15
278,SteveFrancisco1,3,3,15
279,ProgrammingKnowledge,14,14,15
280,TED-Ed,11,11,15
281,Forgotten Weapons,15,15,15
282,theRadBrad,13,13,15
283,TODAY,15,15,15
284,9-Hole Reviews,8,8,15
285,RealLifeRyan,14,14,15
286,Darek Woś Caliathletics,3,3,15
287,Bloomberg Quicktake,8,8,15
288,Saturday Night Live,13,13,15
289,616Entertainment,9,9,15
290,USA Patriotism!,9,9,15
291,biscotte a la crevette,15,15,15
292,미국아재 Mister American,10,10,15
293,rascrifice,1,1,15
294,Fearless Motivation - Topic,11,11,15
295,7dc,10,10,15
296,Iron Wolf Industrial,1,1,15
297,Abdul Bari,10,10,15
298,뭅뭅,5,5,15
299,Noches El Fabuloso,1,1,15
300,vidsuavem3,3,3,14
301,Breaking Bad &amp; Better Call Saul,12,12,14
302,AiirSource Military,14,14,14
303,Back To Back SWE,10,10,14
304,Discovery UK,13,13,14
305,희원쌤의 연애의자격 [연자TV],14,14,14
306,WTii,7,7,14
307,Rhykker,12,12,14
308,볼륨 스튜디오 VOLUME STUDIO,3,3,14
309,CS Dojo,11,11,14
310,Sierra Nguyen,1,1,14
311,Family Guy Compilations,9,9,14
312,국방TV,13,13,14
313,Peter Thornton,8,8,14
314,Mortal Kombat,10,10,14
315,채널A 뉴스,13,13,14
316,김지윤의 지식Play,13,13,14
317,tjacktsk,5,5,14
318,가시현,1,1,14
319,Discovery,7,7,14
320,●forever-and-always,6,6,14
321,Smithsonian Channel,10,10,14
322,AllSentientFreeman,1,1,14
323,Nick930,9,9,14
324,91Tech,13,13,14
325,All Hands Magazine,5,5,14
326,Archer Koxp Knight,1,1,14
327,WhatCulture Gaming,13,13,14
328,Les Choeurs de l&#39;Armée Rouge Alexandrov - Officiel,11,11,14
329,CrashCourse,11,11,14
330,HDMI Channel,14,14,14
331,NickRewind,11,11,14
332,MBCkpop,10,10,14
333,NBC Sports,14,14,14
334,9to5Mac,12,12,13
335,Aurelius2323,3,3,13
336,GunsOfTheWorld,7,7,13
337,오분순삭,8,8,13
338,Inside Edition,12,12,13
339,KFCrazy1,1,1,13
340,Nuclear Blast Records,9,9,13
341,BBC Earth,13,13,13
342,GamelutioN,11,11,13
343,Screen Bites,5,5,13
344,JRE Clips,13,13,13
345,크로커다일 남자훈련소,6,6,13
346,Wintergatan,9,9,13
347,8thManDVD.com™ Cartoon Channel,6,6,13
348,trxshedits,2,2,13
349,The Telegraph,12,12,13
350,DW Documentary,10,10,13
351,clipsman25,10,10,13
352,The Apple Circle,13,13,13
353,KingFofo666,9,9,13
354,Spiral,7,7,13
355,Simply Simpsons,10,10,13
356,UFC - Ultimate Fighting Championship,12,12,13
357,Universal Pictures All-Access,7,7,12
358,KXAN,12,12,12
359,줌인센타 zoom in centre,7,7,12
360,WarpEmperor,9,9,12
361,MBCentertainment,12,12,12
