재생목록 ID,채널 ID,생성 일시,업데이트 일시,제목,설명,공개 상태
PLB2NcDW5y2tumROOvYU789oTD5cEN_mpo,UCGgwZAUipw6AfZPD_gF_boQ,2021-01-23 00:35:00 UTC,2021-08-21 21:09:31 UTC,Explosion,,비공개

동영상 ID,추가 일시
9TRm66Yel00,2021-04-03 22:27:15 UTC
a_e4M6x1-ro,2021-01-23 00:35:00 UTC
BZn7rS4Vkt4,2021-01-23 00:35:42 UTC
 -dVbkxekzKA,2021-01-23 00:35:54 UTC
MO72azOVjtg,2021-01-23 00:35:13 UTC
h7Ue9Gf7KKw,2021-01-23 00:35:28 UTC
YsIhqaw2aWM,2021-02-01 23:31:17 UTC

