재생목록 ID,채널 ID,생성 일시,업데이트 일시,제목,설명,공개 상태
PLB2NcDW5y2tsQH1AwHHwLwZrUk_Ygms4d,UCGgwZAUipw6AfZPD_gF_boQ,2019-12-12 05:36:12 UTC,2019-12-22 16:00:25 UTC,Python analytics,,비공개

동영상 ID,추가 일시
bc--S9u-Jyc,2019-12-12 05:36:12 UTC
FJcEk4JTal8,2019-12-12 05:36:31 UTC
oCa3Y0u5QVc,2019-12-12 05:37:17 UTC
Vuke_3LKSMk,2019-12-12 05:37:34 UTC
_vhyUy_846I,2019-12-12 05:37:53 UTC

