재생목록 ID,채널 ID,생성 일시,업데이트 일시,제목,설명,공개 상태
PLB2NcDW5y2tuSh3E9IH9PAcxa-djmke3W,UCGgwZAUipw6AfZPD_gF_boQ,2020-01-16 04:24:32 UTC,2020-02-05 08:15:26 UTC,C++ Programming,,전체 공개

동영상 ID,추가 일시
yxGLX-rm1F8,2020-01-16 04:24:32 UTC
XkfOebBYm-U,2020-02-05 08:15:26 UTC

